,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,SO,W,L,G,SV,H,ER,HR,BB,ERA,WHIP,ERA+,FIP
47,rusieam01,10,1901,1,1,0,0,485,1950,246,174,463,5,3389,1288,75,1707,3.0677487649964714,1.348623853211009,130.41668730744868,3.8014744177840503
48,camacer01,10,1990,0,0,0,0,193,159,10,20,193,45,268,123,16,128,4.214467005076142,1.5076142131979695,91.74095808245546,4.062257614213197
49,worreti01,14,2006,0,0,0,0,678,758,48,59,678,71,963,429,107,366,3.9654228004108183,1.3649435124957205,112.46789720240572,5.2015919205751455
50,hendrcl01,10,1920,0,0,0,0,410,1092,144,116,360,17,2123,698,41,697,2.649142535844813,1.189204385718302,113.9864727190906,2.743374332302502
51,tidrodi01,13,1984,0,0,2,0,620,975,100,94,620,55,1705,715,163,579,3.6841603053435112,1.3076335877862595,101.5966387559656,4.2828341603053435
52,watted01,10,1975,0,0,1,0,411,462,38,36,411,80,530,213,37,254,2.9060131379484586,1.188479029813037,121.32653804026367,3.1111748357756444
53,urbinug01,11,2005,0,1,1,2,583,814,44,49,583,237,539,267,86,307,3.4459847036328872,1.2131931166347993,129.82965605278306,4.66985707456979
54,troutst01,12,1989,0,0,0,0,301,656,88,92,301,4,1665,697,90,578,4.178285968028419,1.494005328596803,92.45800311977446,4.098907637655419
55,palldo01,10,1998,0,0,0,0,328,278,24,23,328,10,519,204,52,139,3.633245382585752,1.3021108179419525,113.96231416070907,4.770289577836412
56,falcope01,10,1984,0,0,0,0,325,865,70,90,325,7,1385,649,152,671,4.069437993497446,1.432419879238272,93.34390671479822,4.294669763121226
57,bosmadi01,11,1976,0,0,0,0,308,757,82,85,306,2,1594,648,149,412,3.6656191074795728,1.2608422375864237,96.15430533986988,4.0991632097213495
58,bellga01,12,1969,0,0,0,4,521,1378,121,117,519,51,1794,825,206,842,3.684863523573201,1.3081885856079405,97.8835919473142,4.229436062861869
59,hudsosi01,12,1954,0,0,0,2,382,734,104,152,380,13,2384,1036,136,835,4.275103163686382,1.4759284731774416,89.85945578348458,4.12400489072291
60,corsiji01,10,1999,0,0,0,0,368,290,22,24,368,7,450,174,33,191,3.2534626038781163,1.3317174515235457,128.90068327517463,4.206610110803324
61,coombja01,14,1920,0,3,2,0,463,1052,158,110,354,8,2034,717,38,841,2.7814655172413794,1.2392241379310345,103.38998329399112,2.922234626436782
62,mcgresc01,13,1988,0,0,1,1,357,904,138,108,356,5,2245,949,235,518,3.9898785425101213,1.2907194020554345,96.75468523956724,4.062511522890066
63,coopemo01,11,1949,0,11,2,4,297,913,128,75,295,14,1666,607,85,571,2.967946396233249,1.2153205360376675,129.2336360405731,3.4248766751177113
64,erskica01,12,1959,0,0,1,1,360,981,122,78,335,13,1637,763,199,646,3.9955391776570983,1.3283553141970519,99.95902625689409,3.9810868890612876
65,herriar01,11,1947,0,0,0,0,200,243,34,38,199,13,754,335,41,284,4.321548017200191,1.4878165312947922,93.13343374424576,4.253217869087435
66,youngcu01,11,1993,0,0,0,0,254,536,69,53,251,0,1133,530,147,366,4.308943089430894,1.3541102077687444,90.7534427169428,4.806543812104787
67,penaor01,14,1975,0,0,0,0,429,818,56,77,427,40,1175,495,151,352,3.706322795341098,1.2703826955074875,97.44948237512506,4.49841957848031
68,manzajo01,11,2004,0,0,0,0,268,300,13,15,267,6,330,179,46,153,4.7105263157894735,1.412280701754386,93.04937355290112,5.128400584795322
69,linzyfr01,11,1974,0,0,0,0,517,358,62,57,516,111,790,259,35,282,2.854285714285714,1.3126530612244898,122.83391089588496,3.558155918367347
70,blylebe01,22,1992,1,0,2,2,699,3701,287,250,692,0,4632,1830,430,1322,3.3138832997987926,1.1979879275653924,114.3899644384287,3.508937759892689
71,kernji01,13,1986,0,3,0,3,416,651,53,57,416,88,670,293,35,444,3.323949579831933,1.4042016806722688,114.54495256383413,3.819673949579831
72,stanhdo01,10,1982,0,0,0,1,299,408,38,54,294,64,707,324,48,455,3.835160017536168,1.5282770714598861,97.09332087445277,4.230821131082858
73,podrejo01,15,1969,0,2,3,4,464,1435,148,116,440,11,2239,925,242,743,3.6754966887417218,1.3165562913907285,100.58107373012177,3.777506107431935
74,bonesri01,11,2001,0,0,0,1,380,564,63,82,375,1,1422,689,167,464,4.850847457627118,1.4753585397653195,90.3700298313263,5.680292829204694
75,barneje01,13,1927,0,1,2,0,436,653,152,150,422,13,2686,918,88,515,3.2152030094694513,1.2456868595148527,109.54691846980782,3.602329614736023
76,meadole01,15,1929,0,0,1,0,497,1063,188,180,490,7,3280,1185,84,956,3.3742881248681713,1.3402235815228856,107.15712597671424,3.829706601982705
77,radinsc01,11,2001,0,0,0,0,557,358,42,25,557,52,461,184,33,209,3.438062283737024,1.3910034602076125,126.29723696078845,3.7769591695501727
78,dotsori01,12,1990,0,0,0,1,315,973,111,113,305,0,1884,872,194,740,4.225412778176597,1.412778176597272,91.77867244557076,4.551080760947595
79,willivi01,13,1910,1,1,1,0,527,1651,249,205,513,11,3621,1167,66,1212,2.6283783783783785,1.2094594594594594,111.98975775146116,2.959595512178845
