,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,G,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS+,wOBA
64,jonesfi01,15,1915,0,0,1,0,1778,1788,1180,1920,21,631,359,817,0.28457092040907067,0.3563465923486192,0.28457092040907067,116.07505165088608,0.35110863874345555
65,sandere02,17,2007,0,1,1,1,1818,1777,1037,1666,305,983,304,674,0.2669443999359077,0.34232571347437174,0.2669443999359077,119.5464464382768,0.3624631805157593
66,cashno01,17,1974,0,2,1,5,2170,2089,1046,1820,377,1103,43,1043,0.2714392244593587,0.37332490518331224,0.2714392244593587,149.40911294001006,0.39156882148824057
67,walbema01,11,2003,0,0,0,0,721,682,215,492,28,208,13,133,0.2332859174964438,0.27850877192982454,0.2332859174964438,58.01369953921118,0.2685300618921309
68,johnsro02,10,1938,0,0,1,0,1154,1155,717,1292,58,556,135,489,0.2963982564808442,0.36696684404420793,0.2963982564808442,117.89555628153634,0.44071913580246913
69,yountro01,20,1993,1,12,0,3,2876,2856,1632,3142,251,1406,271,966,0.28542877906976744,0.33929300351049063,0.28542877906976744,116.94867798786905,0.34853443983402493
70,castivi02,16,2006,0,6,0,2,1880,1854,902,1884,320,1105,33,423,0.27616534740545295,0.32055796316359697,0.27616534740545295,110.41355287065255,0.38226094091903723
71,larkiba01,19,2004,1,24,1,12,2198,2180,1329,2340,198,960,379,939,0.2948217210532947,0.3681130617202164,0.2948217210532947,120.05393120784751,0.3650335871025526
72,foliti01,16,1985,0,0,1,0,1738,1696,576,1515,25,501,81,265,0.25053745659004467,0.2761296211775445,0.25053745659004467,67.6465733442131,0.3174194509803921
73,bollifr01,12,1966,0,2,0,4,1557,1540,692,1415,106,556,40,462,0.2544048903272204,0.3081273226692519,0.2544048903272204,91.60084480779706,0.30801236807387855
74,dalyto01,17,1903,0,0,1,0,1577,1568,1025,1583,49,811,385,687,0.27767058410805123,0.3570110701107011,0.27767058410805123,118.46468465731523,0.3840059006211181
75,pfefffr01,16,1897,0,0,1,0,1686,1671,1096,1680,94,1021,383,527,0.25609756097560976,0.31257014590347926,0.25609756097560976,101.73713010279366,0.33923958919527303
76,smithge01,15,1898,0,0,1,0,1716,1712,907,1597,47,800,235,408,0.24337092349893324,0.288384703196347,0.24337092349893324,81.99280282904886,0.31232522187231604
77,youngke01,12,2003,0,0,0,0,1276,1205,536,1007,144,606,83,336,0.258403900436233,0.32291427258101585,0.258403900436233,101.60179246493098,0.333740980573543
